日期,最大负荷,最高温度
2017/1/1,626.12,18
2017/1/2,769.71,23
2017/1/3,764.12,19
2017/1/4,760.23,22
2017/1/5,760.61,21
2017/1/6,758.64,18
2017/1/7,766.24,18
2017/1/8,756.9,18
2017/1/9,732.97,13
2017/1/10,734.87,14
2017/1/11,764.37,13
2017/1/12,729.83,12
2017/1/13,707.02,12
2017/1/14,679.96,13
2017/1/15,626.23,12
2017/1/16,594.56,13
2017/1/17,540.21,14
2017/1/18,475.7,13
2017/1/19,431.28,13
2017/1/20,408.81,11
2017/1/21,401.66,12
2017/1/22,381.33,13
2017/1/23,383.56,12
2017/1/24,378.26,13
2017/1/25,369.47,11
2017/1/26,359.63,13
2017/1/27,352.52,17
2017/1/28,293.88,15
2017/1/29,287.96,21
2017/1/30,303.0,14
2017/1/31,321.59,12
2017/2/1,326.98,12
2017/2/2,335.04,12
2017/2/3,324.74,16
2017/2/4,316.24,19
2017/2/5,332.15,18
2017/2/6,368.99,15
2017/2/7,407.76,13
2017/2/8,466.2,13
2017/2/9,520.31,10
2017/2/10,561.14,11
2017/2/11,557.72,12
2017/2/12,600.16,11
2017/2/13,652.54,14
2017/2/14,678.11,17
2017/2/15,692.97,17
2017/2/16,713.14,21
2017/2/17,730.12,23
2017/2/18,778.46,16
2017/2/19,774.99,19
2017/2/20,771.65,24
2017/2/21,730.23,11
2017/2/22,809.18,24
2017/2/23,857.15,13
2017/2/24,889.29,8
2017/2/25,892.59,8
2017/2/26,844.38,14
2017/2/27,857.2,16
2017/2/28,750.98,15
2017/3/1,821.57,20
2017/3/2,825.08,16
2017/3/3,854.79,18
2017/3/4,854.76,18
2017/3/5,833.7,20
2017/3/6,843.17,15
2017/3/7,852.83,16
2017/3/8,839.04,17
2017/3/9,813.79,17
2017/3/10,839.86,13
2017/3/11,871.31,15
2017/3/12,851.98,16
2017/3/13,851.99,14
2017/3/14,827.81,13
2017/3/15,810.69,15
2017/3/16,824.27,14
2017/3/17,844.2,14
2017/3/18,845.86,16
2017/3/19,835.72,14
2017/3/20,825.41,19
2017/3/21,841.05,17
2017/3/22,860.21,14
2017/3/23,834.74,18
2017/3/24,837.15,15
2017/3/25,841.77,17
2017/3/26,828.49,19
2017/3/27,830.47,20
2017/3/28,842.08,20
2017/3/29,822.4,21
2017/3/30,819.22,18
2017/3/31,846.97,15
2017/4/1,820.08,18
2017/4/2,790.99,18
2017/4/3,722.38,21
2017/4/4,471.61,21
2017/4/5,719.36,25
2017/4/6,800.6,25
2017/4/7,813.15,23
2017/4/8,809.0,24
2017/4/9,815.38,23
2017/4/10,806.4,20
2017/4/11,813.24,20
2017/4/12,822.9,19
2017/4/13,818.26,21
2017/4/14,811.76,24
2017/4/15,807.2,27
2017/4/16,788.45,24
2017/4/17,790.32,26
2017/4/18,794.32,29
2017/4/19,791.43,24
2017/4/20,795.33,26
2017/4/21,803.47,23
2017/4/22,801.77,25
2017/4/23,779.73,22
2017/4/24,784.27,24
2017/4/25,796.79,21
2017/4/26,781.94,22
2017/4/27,800.75,19
2017/4/28,795.1,23
2017/4/29,796.53,25
2017/4/30,734.09,27
2017/5/1,470.1,25
2017/5/2,692.42,23
2017/5/3,764.15,25
2017/5/4,782.48,25
2017/5/5,784.0,28
2017/5/6,805.2,23
2017/5/7,788.59,24
2017/5/8,785.65,24
2017/5/9,777.38,29
2017/5/10,764.84,32
2017/5/11,782.99,31
2017/5/12,794.76,28
2017/5/13,802.72,28
2017/5/14,780.92,30
2017/5/15,780.55,28
2017/5/16,778.98,25
2017/5/17,785.06,26
2017/5/18,787.58,28
2017/5/19,766.53,26
2017/5/20,796.82,24
2017/5/21,776.87,26
2017/5/22,782.38,28
2017/5/23,794.81,27
2017/5/24,790.95,28
2017/5/25,779.16,29
2017/5/26,777.53,30
2017/5/27,795.11,29
2017/5/28,789.5,28
2017/5/29,736.75,26
2017/5/30,466.54,30
2017/5/31,649.53,30
2017/6/1,754.8,26
2017/6/2,764.46,26
2017/6/3,788.01,26
2017/6/4,755.98,24
2017/6/5,772.92,25
2017/6/6,783.36,29
2017/6/7,825.6,28
2017/6/8,787.27,27
2017/6/9,797.74,29
2017/6/10,816.11,32
2017/6/11,836.19,32
2017/6/12,798.94,27
2017/6/13,758.82,25
2017/6/14,752.3,24
2017/6/15,770.28,24
2017/6/16,769.84,21
2017/6/17,766.32,23
2017/6/18,763.76,27
2017/6/19,764.74,25
2017/6/20,759.73,25
2017/6/21,785.05,25
2017/6/22,779.67,29
2017/6/23,824.86,31
2017/6/24,850.09,33
2017/6/25,824.89,32
2017/6/26,783.38,26
2017/6/27,776.77,24
2017/6/28,770.02,27
2017/6/29,813.79,30
2017/6/30,837.92,32
2017/7/1,838.62,32
2017/7/2,851.41,32
2017/7/3,889.2,32
2017/7/4,898.87,34
2017/7/5,899.5,34
2017/7/6,922.76,33
2017/7/7,942.28,34
2017/7/8,913.33,34
2017/7/9,898.67,34
2017/7/10,940.7,35
2017/7/11,952.67,35
2017/7/12,964.98,36
2017/7/13,964.59,35
2017/7/14,960.05,35
2017/7/15,939.66,35
2017/7/16,910.82,34
2017/7/17,955.54,33
2017/7/18,984.34,35
2017/7/19,1006.31,36
2017/7/20,994.41,37
2017/7/21,1008.78,37
2017/7/22,992.09,36
2017/7/23,972.13,36
2017/7/24,1011.75,35
2017/7/25,1021.41,37
2017/7/26,1019.97,36
2017/7/27,990.18,35
2017/7/28,1006.59,34
2017/7/29,933.62,36
2017/7/30,767.06,29
2017/7/31,818.98,30
2017/8/1,803.49,31
2017/8/2,879.35,31
2017/8/3,920.24,34
2017/8/4,963.83,33
2017/8/5,1017.2,36
2017/8/6,1023.36,36
2017/8/7,994.85,38
2017/8/8,1010.96,37
2017/8/9,1028.49,36
2017/8/10,1018.13,37
2017/8/11,933.37,36
2017/8/12,983.77,35
2017/8/13,1003.67,34
2017/8/14,1043.88,35
2017/8/15,1036.14,36
2017/8/16,1027.75,36
2017/8/17,965.12,36
2017/8/18,955.28,34
2017/8/19,986.59,33
2017/8/20,895.32,33
2017/8/21,887.09,33
2017/8/22,872.66,33
2017/8/23,837.74,32
2017/8/24,891.62,34
2017/8/25,902.75,33
2017/8/26,918.59,34
2017/8/27,892.4,34
2017/8/28,911.39,34
2017/8/29,919.33,34
2017/8/30,901.42,35
2017/8/31,797.67,33
2017/9/1,784.73,32
2017/9/2,773.41,30
2017/9/3,758.72,31
2017/9/4,782.93,31
2017/9/5,829.92,34
2017/9/6,906.71,33
2017/9/7,921.71,32
2017/9/8,777.1,29
2017/9/9,843.15,30
2017/9/10,898.93,34
2017/9/11,947.22,34
2017/9/12,870.61,29
2017/9/13,926.52,29
2017/9/14,849.27,29
2017/9/15,873.94,32
2017/9/16,876.91,32
2017/9/17,864.66,33
2017/9/18,871.53,31
2017/9/19,872.79,31
2017/9/20,873.84,31
2017/9/21,952.25,31
2017/9/22,901.6,31
2017/9/23,916.49,30
2017/9/24,938.55,31
2017/9/25,979.22,34
2017/9/26,1003.32,36
2017/9/27,1025.14,37
2017/9/28,894.78,29
2017/9/29,840.05,27
2017/9/30,863.9,28
2017/10/1,680.42,31
2017/10/2,827.94,33
2017/10/3,747.75,29
2017/10/4,487.51,27
2017/10/5,677.23,29
2017/10/6,834.35,29
2017/10/7,835.96,28
2017/10/8,823.53,29
2017/10/9,843.32,28
2017/10/10,887.22,29
2017/10/11,886.92,30
2017/10/12,869.55,29
2017/10/13,809.16,25
2017/10/14,808.07,22
2017/10/15,785.74,21
2017/10/16,788.47,23
2017/10/17,776.27,25
2017/10/18,759.75,26
2017/10/19,717.44,27
2017/10/20,708.04,26
2017/10/21,704.59,25
2017/10/22,706.9,24
2017/10/23,687.78,25
2017/10/24,687.4,25
2017/10/25,726.11,24
2017/10/26,804.17,25
2017/10/27,808.56,25
2017/10/28,820.87,25
2017/10/29,816.05,26
2017/10/30,802.97,24
2017/10/31,801.05,22
2017/11/1,823.89,24
2017/11/2,840.75,24
2017/11/3,794.89,26
2017/11/4,831.12,21
2017/11/5,853.83,21
2017/11/6,847.4,23
2017/11/7,801.58,22
2017/11/8,822.68,22
2017/11/9,825.45,23
2017/11/10,847.52,24
2017/11/11,853.72,22
2017/11/12,845.95,19
2017/11/13,843.69,23
2017/11/14,857.69,21
2017/11/15,852.6,20
