DATA_DATE_E,ERR_NUM
2015/01/01,7
2015/01/11,4
2015/01/13,4
2015/01/15,4
2015/01/17,4
2015/01/19,5
2015/01/21,5
2015/01/23,5
2015/01/25,5
2015/01/27,3
2015/01/29,5
2015/01/03,5
2015/01/31,7
2015/01/05,6
2015/01/07,6
2015/01/09,4
2015/10/11,6
2015/10/23,5
2015/10/29,5
2015/10/31,5
2015/10/05,6
2015/10/09,4
2015/11/01,4
2015/11/21,4
2015/11/23,4
2015/11/25,5
2015/11/29,4
2015/11/05,6
2015/11/07,7
2015/12/11,3
2015/12/15,4
2015/12/19,4
2015/02/01,5
2015/02/11,5
2015/02/13,5
2015/02/15,8
2015/02/17,4
2015/02/19,3
2015/02/21,4
2015/02/23,6
2015/02/25,5
2015/02/27,5
2015/02/05,5
2015/02/07,4
2015/02/09,7
2015/03/01,5
2015/03/11,6
2015/03/13,6
2015/03/15,3
2015/03/17,8
2015/03/19,4
2015/03/21,5
2015/03/23,6
2015/03/25,4
2015/03/27,3
2015/03/29,6
2015/03/03,4
2015/03/05,6
2015/03/07,5
2015/03/09,4
2015/04/01,5
2015/04/11,5
2015/04/13,4
2015/04/15,5
2015/04/17,6
2015/04/19,9
2015/04/21,8
2015/04/23,6
2015/04/25,5
2015/04/03,23
2015/04/05,4
2015/04/07,5
2015/05/01,5
2015/05/11,7
2015/05/13,8
2015/05/15,4
2015/05/17,7
2015/05/19,7
2015/05/21,7
2015/05/23,6
2015/05/25,5
2015/05/27,6
2015/05/29,5
2015/05/03,8
2015/05/05,7
2015/05/07,5
2015/05/09,12
2015/06/01,9
2015/06/11,7
2015/06/13,10
2015/06/15,5
2015/06/17,8
2015/06/19,8
2015/06/21,5
2015/06/23,13
2015/06/25,18
2015/06/27,10
2015/06/29,13
2015/06/03,5
2015/06/05,18
2015/06/07,8
2015/06/09,8
2015/07/01,4
2015/07/11,12
2015/07/15,8
2015/07/23,13
2015/07/25,47
2015/07/03,6
2015/07/07,8
2015/07/09,5
2015/08/11,26
2015/08/21,10
2015/08/23,6
2015/08/29,8
2015/08/03,5
2015/08/05,8
2015/08/07,6
2015/08/09,12
2015/09/15,5
2015/09/19,3
2015/09/25,6
2015/09/27,5
2015/09/05,9
2015/09/09,4
